variable_name,limesurvey_export_name,codebook_name_if_applicable,classification,keep_drop_decision,reason,manual_review_needed,question_type,codebook_label,codebook_type,codebook_scale,crosswalk_match_type,question_text,subquestion_text
interviewtime,interviewtime,,technical_metadata,drop,LimeSurvey/date/timing metadata can be an indirect identifier; drop by default.,true,metadata,,,,metadata,,
Nat,UmgebTyp[Nat],Nat,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,F,"Evaluation of whether the participant has quick access from home to nature such as forest, parks, or water.",ordinal,residential environment,subquestion_code,Bitte bewerte deine direkte Wohnumgebung (d. h. im Umkreis von etwa 800 Meter bzw 10 Gehminuten) anhand der folgenden Aussagen:,"Ich habe von zu Hause aus schnellen Zugang zu Natur wie Wald, Parks oder Gewässern (d. h. weniger als 300 Meter bzw 5 Gehminuten)."
Mov,UmgebTyp[Mov],Mov,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,F,Evaluation of whether pleasant and safe routes for walking or cycling are available in everyday life/leisure time.,ordinal,residential environment,subquestion_code,Bitte bewerte deine direkte Wohnumgebung (d. h. im Umkreis von etwa 800 Meter bzw 10 Gehminuten) anhand der folgenden Aussagen:,"Es gibt angenehme und sichere Wege, um im Alltag/in der Freizeit spazieren zu gehen oder mit dem Rad unterwegs zu sein."
HHGroesse,HHGroesse,HHGroesse,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,"Number of people living in the participant’s household, including the participant.",numeric,household information,question_code,"Wie viele Personen - inklusive dir - leben in dem Haushalt, in dem du lebst?",
HHMinderj,HHMinderj,HHMinderj,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,Number of minors under 18 years living in the participant’s household.,numeric,household information,question_code,Wie viele Personen in deinem Haushalt sind minderjährig (unter 18 Jahren)?,
CareArbeit,CareArbeit,CareArbeit,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Y,"Whether the participant performs household, childcare, or care work for relatives.",logical,care work,question_code,"Übernimmst du Aufgaben im Haushalt, bei der Kinderbetreuung oder der Pflege von Angehörigen (d. h. Care-Arbeit)?",
CareStunden,CareStunden,CareStunden,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,"Estimated number of hours per week spent on household, childcare, or care work.",numeric,care work,question_code,Wie viele Stunden pro Woche verbringst du schätzungsweise mit diesen Aufgaben? (Bitte schätze die Dauer in vollen Stunden z. B. 12 Stunden),
Social,Social,Social,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,Estimated average number of hours per week spent with social contacts.,numeric,social contacts,question_code,"Wie viele Stunden pro Woche verbringst du durchschnittlich mit sozialen Kontakten (z. B. Freunde, Familie, Partner:in)? Bitte schätze einen durchschnittlichen Wert über die letzten 7 Tage.",
PASubgroup,PASubgroup,PASubgroup,exclusion_or_qc_variable,review,Eligibility/QC/derived exclusion variable; likely needed for processing but needs protocol decision.,true,*,Hidden subgroup classification for baseline physical activity level.,categorical,technical / subgrouping,question_code,(unsichtbar),
utmsource,utmsource,,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,S,,,,no_direct_match,utm_source,
utmmedium,utmmedium,,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,S,,,,no_direct_match,utm_medium,
utmcampaign,utmcampaign,,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,S,,,,no_direct_match,utm_campaign,
utmcontent,utmcontent,,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,S,,,,no_direct_match,utm_content,
BeschaeftProz,BeschaeftProz,,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,,,,no_direct_match,Wie hoch ist dein aktueller Beschäftigungsgrad bzw. dein Ausbildungs-/Studienpensum in Prozent?,
UrlaubWochen,UrlaubWochen,,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,,,,no_direct_match,Wie viele Wochen Urlaub/Ferien hast du ungefähr pro Jahr?,
StressWochen,StressWochen,,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,,,,no_direct_match,"Wenn du an ein typisches Jahr denkst: In wie vielen Wochen pro Jahr erlebst du deinen Alltag insgesamt als deutlich stressiger oder belastender als gewöhnlich? Gemeint sind Wochen, in denen du dich durch Arbeit, Studium, Ausbildung, Familie oder andere Verpflichtungen deutlich stärker belastet fühls",
